起点,终点,划分,经纬度
北京南站,沧州西站,240000G1010N,"[116.378545,39.865195],[116.768136,38.306483]"
沧州西站,德州东站,240000G1010N,"[116.768136,38.306483],[116.462533,37.409444]"
德州东站,济南西站,240000G1010N,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,曲阜东站,240000G1010N,"[116.891316,36.668906],[117.069079,35.556462]"
曲阜东站,枣庄站,240000G1010N,"[117.069079,35.556462],[117.30583,34.780682]"
枣庄站,宿州东站,240000G1010N,"[117.30583,34.780682],[117.250896,33.675631]"
宿州东站,南京南站,240000G1010N,"[117.250896,33.675631],[118.798147,31.968587]"
南京南站,镇江南站,240000G1010N,"[118.798147,31.968587],[119.424373,32.152414]"
镇江南站,苏州北站,240000G1010N,"[119.424373,32.152414],[120.644312,31.421561]"
苏州北站,上海虹桥站,240000G1010N,"[120.644312,31.421561],[121.320038,31.193987]"
北京南站,沧州西站,240000G1032Q,"[116.378545,39.865195],[116.768136,38.306483]"
沧州西站,德州东站,240000G1032Q,"[116.768136,38.306483],[116.462533,37.409444]"
德州东站,济南西站,240000G1032Q,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,泰安站,240000G1032Q,"[116.891316,36.668906],[117.035742,36.172902]"
泰安站,枣庄站,240000G1032Q,"[117.035742,36.172902],[117.30583,34.780682]"
枣庄站,徐州东站,240000G1032Q,"[117.30583,34.780682],[117.305076,34.267673]"
徐州东站,滁州站,240000G1032Q,"[117.305076,34.267673],[118.319862,32.198885]"
滁州站,南京南站,240000G1032Q,"[118.319862,32.198885],[118.798147,31.968587]"
南京南站,无锡东站,240000G1032Q,"[118.798147,31.968587],[120.460118,31.597155]"
无锡东站,上海虹桥站,240000G1032Q,"[120.460118,31.597155],[121.320038,31.193987]"
北京南站,天津南站,24000000G505,"[116.378545,39.865195],[117.0608,39.056878]"
天津南站,济南西站,24000000G505,"[117.0608,39.056878],[116.891316,36.668906]"
济南西站,南京南站,24000000G505,"[116.891316,36.668906],[118.798147,31.968587]"
南京南站,上海站,24000000G505,"[118.798147,31.968587],[121.455739,31.249563]"
北京南站,天津南站,240000G1050M,"[116.378545,39.865195],[117.0608,39.056878]"
天津南站,德州东站,240000G1050M,"[117.0608,39.056878],[116.462533,37.409444]"
德州东站,济南西站,240000G1050M,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,滕州东站,240000G1050M,"[116.891316,36.668906],[117.256866,35.090796]"
滕州东站,徐州东站,240000G1050M,"[117.256866,35.090796],[117.305076,34.267673]"
徐州东站,宿州东站,240000G1050M,"[117.305076,34.267673],[117.250896,33.675631]"
宿州东站,南京南站,240000G1050M,"[117.250896,33.675631],[118.798147,31.968587]"
南京南站,无锡东站,240000G1050M,"[118.798147,31.968587],[120.460118,31.597155]"
无锡东站,上海虹桥站,240000G1050M,"[120.460118,31.597155],[121.320038,31.193987]"
北京南站,天津南站,240000G1430R,"[116.378545,39.865195],[117.0608,39.056878]"
天津南站,济南西站,240000G1430R,"[117.0608,39.056878],[116.891316,36.668906]"
济南西站,南京南站,240000G1430R,"[116.891316,36.668906],[118.798147,31.968587]"
南京南站,常州北站,240000G1430R,"[118.798147,31.968587],[119.955457,31.85349]"
常州北站,上海虹桥站,240000G1430R,"[119.955457,31.85349],[121.320038,31.193987]"
北京南站,德州东站,240000G1070J,"[116.378545,39.865195],[116.462533,37.409444]"
德州东站,济南西站,240000G1070J,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,枣庄站,240000G1070J,"[116.891316,36.668906],[117.30583,34.780682]"
枣庄站,徐州东站,240000G1070J,"[117.30583,34.780682],[117.305076,34.267673]"
徐州东站,南京南站,240000G1070J,"[117.305076,34.267673],[118.798147,31.968587]"
南京南站,镇江南站,240000G1070J,"[118.798147,31.968587],[119.424373,32.152414]"
镇江南站,苏州北站,240000G1070J,"[119.424373,32.152414],[120.644312,31.421561]"
苏州北站,上海虹桥站,240000G1070J,"[120.644312,31.421561],[121.320038,31.193987]"
北京南站,沧州西站,240000G10932,"[116.378545,39.865195],[116.768136,38.306483]"
沧州西站,济南西站,240000G10932,"[116.768136,38.306483],[116.891316,36.668906]"
济南西站,曲阜东站,240000G10932,"[116.891316,36.668906],[117.069079,35.556462]"
曲阜东站,枣庄站,240000G10932,"[117.069079,35.556462],[117.30583,34.780682]"
枣庄站,徐州东站,240000G10932,"[117.30583,34.780682],[117.305076,34.267673]"
徐州东站,滁州站,240000G10932,"[117.305076,34.267673],[118.319862,32.198885]"
滁州站,南京南站,240000G10932,"[118.319862,32.198885],[118.798147,31.968587]"
南京南站,常州北站,240000G10932,"[118.798147,31.968587],[119.955457,31.85349]"
常州北站,苏州北站,240000G10932,"[119.955457,31.85349],[120.644312,31.421561]"
苏州北站,上海虹桥站,240000G10932,"[120.644312,31.421561],[121.320038,31.193987]"
北京南站,德州东站,240000G11111,"[116.378545,39.865195],[116.462533,37.409444]"
德州东站,济南西站,240000G11111,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,泰安站,240000G11111,"[116.891316,36.668906],[117.035742,36.172902]"
泰安站,枣庄站,240000G11111,"[117.035742,36.172902],[117.30583,34.780682]"
枣庄站,定远站,240000G11111,"[117.30583,34.780682],[117.84215,32.575119]"
定远站,南京南站,240000G11111,"[117.84215,32.575119],[118.798147,31.968587]"
南京南站,丹阳北站,240000G11111,"[118.798147,31.968587],[119.670964,32.014566]"
丹阳北站,无锡东站,240000G11111,"[119.670964,32.014566],[120.460118,31.597155]"
无锡东站,上海虹桥站,240000G11111,"[120.460118,31.597155],[121.320038,31.193987]"
北京南站,廊坊站,240000G1130U,"[116.378545,39.865195],[116.709066,39.509281]"
廊坊站,沧州西站,240000G1130U,"[116.709066,39.509281],[116.768136,38.306483]"
沧州西站,济南西站,240000G1130U,"[116.768136,38.306483],[116.891316,36.668906]"
济南西站,徐州东站,240000G1130U,"[116.891316,36.668906],[117.305076,34.267673]"
徐州东站,南京南站,240000G1130U,"[117.305076,34.267673],[118.798147,31.968587]"
南京南站,苏州北站,240000G1130U,"[118.798147,31.968587],[120.644312,31.421561]"
苏州北站,上海虹桥站,240000G1130U,"[120.644312,31.421561],[121.320038,31.193987]"
北京南站,济南西站,24000000G10G,"[116.378545,39.865195],[116.891316,36.668906]"
济南西站,南京南站,24000000G10G,"[116.891316,36.668906],[118.798147,31.968587]"
南京南站,上海虹桥站,24000000G10G,"[118.798147,31.968587],[121.320038,31.193987]"
北京南站,沧州西站,2400000G410N,"[116.378545,39.865195],[116.768136,38.306483]"
沧州西站,济南西站,2400000G410N,"[116.768136,38.306483],[116.891316,36.668906]"
济南西站,泰安站,2400000G410N,"[116.891316,36.668906],[117.035742,36.172902]"
泰安站,蚌埠南站,2400000G410N,"[117.035742,36.172902],[117.441475,32.901917]"
蚌埠南站,南京南站,2400000G410N,"[117.441475,32.901917],[118.798147,31.968587]"
南京南站,常州北站,2400000G410N,"[118.798147,31.968587],[119.955457,31.85349]"
常州北站,上海虹桥站,2400000G410N,"[119.955457,31.85349],[121.320038,31.193987]"
上海虹桥站,嘉兴南站,2400000G410N,"[121.320038,31.193987],[120.799816,30.690975]"
嘉兴南站,杭州东站,2400000G410N,"[120.799816,30.690975],[120.213116,30.290998]"
北京南站,天津南站,240000G11519,"[116.378545,39.865195],[117.0608,39.056878]"
天津南站,德州东站,240000G11519,"[117.0608,39.056878],[116.462533,37.409444]"
德州东站,济南西站,240000G11519,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,宿州东站,240000G11519,"[116.891316,36.668906],[117.250896,33.675631]"
宿州东站,南京南站,240000G11519,"[117.250896,33.675631],[118.798147,31.968587]"
南京南站,镇江南站,240000G11519,"[118.798147,31.968587],[119.424373,32.152414]"
镇江南站,上海虹桥站,240000G11519,"[119.424373,32.152414],[121.320038,31.193987]"
北京南站,天津南站,240000G1170V,"[116.378545,39.865195],[117.0608,39.056878]"
天津南站,德州东站,240000G1170V,"[117.0608,39.056878],[116.462533,37.409444]"
德州东站,济南西站,240000G1170V,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,枣庄站,240000G1170V,"[116.891316,36.668906],[117.30583,34.780682]"
枣庄站,滁州站,240000G1170V,"[117.30583,34.780682],[118.319862,32.198885]"
滁州站,南京南站,240000G1170V,"[118.319862,32.198885],[118.798147,31.968587]"
南京南站,丹阳北站,240000G1170V,"[118.798147,31.968587],[119.670964,32.014566]"
丹阳北站,苏州北站,240000G1170V,"[119.670964,32.014566],[120.644312,31.421561]"
苏州北站,昆山南站,240000G1170V,"[120.644312,31.421561],[120.950871,31.353131]"
昆山南站,上海虹桥站,240000G1170V,"[120.950871,31.353131],[121.320038,31.193987]"
北京南站,济南西站,24000000G706,"[116.378545,39.865195],[116.891316,36.668906]"
济南西站,南京南站,24000000G706,"[116.891316,36.668906],[118.798147,31.968587]"
南京南站,上海虹桥站,24000000G706,"[118.798147,31.968587],[121.320038,31.193987]"
北京南站,德州东站,240000G1190K,"[116.378545,39.865195],[116.462533,37.409444]"
德州东站,济南西站,240000G1190K,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,曲阜东站,240000G1190K,"[116.891316,36.668906],[117.069079,35.556462]"
曲阜东站,枣庄站,240000G1190K,"[117.069079,35.556462],[117.30583,34.780682]"
枣庄站,徐州东站,240000G1190K,"[117.30583,34.780682],[117.305076,34.267673]"
徐州东站,蚌埠南站,240000G1190K,"[117.305076,34.267673],[117.441475,32.901917]"
蚌埠南站,南京南站,240000G1190K,"[117.441475,32.901917],[118.798147,31.968587]"
南京南站,镇江南站,240000G1190K,"[118.798147,31.968587],[119.424373,32.152414]"
镇江南站,无锡东站,240000G1190K,"[119.424373,32.152414],[120.460118,31.597155]"
无锡东站,上海虹桥站,240000G1190K,"[120.460118,31.597155],[121.320038,31.193987]"
北京南站,廊坊站,240000G1210Q,"[116.378545,39.865195],[116.709066,39.509281]"
廊坊站,沧州西站,240000G1210Q,"[116.709066,39.509281],[116.768136,38.306483]"
沧州西站,德州东站,240000G1210Q,"[116.768136,38.306483],[116.462533,37.409444]"
德州东站,济南西站,240000G1210Q,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,曲阜东站,240000G1210Q,"[116.891316,36.668906],[117.069079,35.556462]"
曲阜东站,徐州东站,240000G1210Q,"[117.069079,35.556462],[117.305076,34.267673]"
徐州东站,南京南站,240000G1210Q,"[117.305076,34.267673],[118.798147,31.968587]"
南京南站,无锡东站,240000G1210Q,"[118.798147,31.968587],[120.460118,31.597155]"
无锡东站,苏州北站,240000G1210Q,"[120.460118,31.597155],[120.644312,31.421561]"
苏州北站,上海虹桥站,240000G1210Q,"[120.644312,31.421561],[121.320038,31.193987]"
北京南站,天津南站,240000G1232E,"[116.378545,39.865195],[117.0608,39.056878]"
天津南站,德州东站,240000G1232E,"[117.0608,39.056878],[116.462533,37.409444]"
德州东站,济南西站,240000G1232E,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,枣庄站,240000G1232E,"[116.891316,36.668906],[117.30583,34.780682]"
枣庄站,南京南站,240000G1232E,"[117.30583,34.780682],[118.798147,31.968587]"
南京南站,镇江南站,240000G1232E,"[118.798147,31.968587],[119.424373,32.152414]"
镇江南站,常州北站,240000G1232E,"[119.424373,32.152414],[119.955457,31.85349]"
常州北站,昆山南站,240000G1232E,"[119.955457,31.85349],[120.950871,31.353131]"
昆山南站,上海虹桥站,240000G1232E,"[120.950871,31.353131],[121.320038,31.193987]"
北京南站,天津南站,240000G1251G,"[116.378545,39.865195],[117.0608,39.056878]"
天津南站,德州东站,240000G1251G,"[117.0608,39.056878],[116.462533,37.409444]"
德州东站,济南西站,240000G1251G,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,滕州东站,240000G1251G,"[116.891316,36.668906],[117.256866,35.090796]"
滕州东站,蚌埠南站,240000G1251G,"[117.256866,35.090796],[117.441475,32.901917]"
蚌埠南站,滁州站,240000G1251G,"[117.441475,32.901917],[118.319862,32.198885]"
滁州站,南京南站,240000G1251G,"[118.319862,32.198885],[118.798147,31.968587]"
南京南站,常州北站,240000G1251G,"[118.798147,31.968587],[119.955457,31.85349]"
常州北站,昆山南站,240000G1251G,"[119.955457,31.85349],[120.950871,31.353131]"
昆山南站,上海虹桥站,240000G1251G,"[120.950871,31.353131],[121.320038,31.193987]"
北京南站,廊坊站,240000G4110D,"[116.378545,39.865195],[116.709066,39.509281]"
廊坊站,沧州西站,240000G4110D,"[116.709066,39.509281],[116.768136,38.306483]"
沧州西站,德州东站,240000G4110D,"[116.768136,38.306483],[116.462533,37.409444]"
德州东站,济南西站,240000G4110D,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,曲阜东站,240000G4110D,"[116.891316,36.668906],[117.069079,35.556462]"
曲阜东站,滕州东站,240000G4110D,"[117.069079,35.556462],[117.256866,35.090796]"
滕州东站,徐州东站,240000G4110D,"[117.256866,35.090796],[117.305076,34.267673]"
徐州东站,蚌埠南站,240000G4110D,"[117.305076,34.267673],[117.441475,32.901917]"
蚌埠南站,南京南站,240000G4110D,"[117.441475,32.901917],[118.798147,31.968587]"
南京南站,无锡东站,240000G4110D,"[118.798147,31.968587],[120.460118,31.597155]"
无锡东站,苏州北站,240000G4110D,"[120.460118,31.597155],[120.644312,31.421561]"
苏州北站,上海虹桥站,240000G4110D,"[120.644312,31.421561],[121.320038,31.193987]"
北京南站,沧州西站,240000G1273B,"[116.378545,39.865195],[116.768136,38.306483]"
沧州西站,德州东站,240000G1273B,"[116.768136,38.306483],[116.462533,37.409444]"
德州东站,济南西站,240000G1273B,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,曲阜东站,240000G1273B,"[116.891316,36.668906],[117.069079,35.556462]"
曲阜东站,徐州东站,240000G1273B,"[117.069079,35.556462],[117.305076,34.267673]"
徐州东站,蚌埠南站,240000G1273B,"[117.305076,34.267673],[117.441475,32.901917]"
蚌埠南站,南京南站,240000G1273B,"[117.441475,32.901917],[118.798147,31.968587]"
南京南站,常州北站,240000G1273B,"[118.798147,31.968587],[119.955457,31.85349]"
常州北站,上海虹桥站,240000G1273B,"[119.955457,31.85349],[121.320038,31.193987]"
北京站,廊坊北站,24000014611X,"[116.42792,39.902896],[116.705955,39.512856]"
廊坊北站,杨村站,24000014611X,"[116.705955,39.512856],[117.065408,39.354085]"
杨村站,天津西站,24000014611X,"[117.065408,39.354085],[117.162863,39.158619]"
天津西站,静海站,24000014611X,"[117.162863,39.158619],[116.930098,38.932952]"
静海站,青县站,24000014611X,"[116.930098,38.932952],[116.838679,38.577788]"
青县站,沧州站,24000014611X,"[116.838679,38.577788],[116.877637,38.309154]"
沧州站,泊头站,24000014611X,"[116.877637,38.309154],[116.586386,38.060543]"
泊头站,东光站,24000014611X,"[116.586386,38.060543],[116.530604,37.892084]"
东光站,吴桥站,24000014611X,"[116.530604,37.892084],[116.386393,37.627877]"
吴桥站,德州站,24000014611X,"[116.386393,37.627877],[116.288647,37.449387]"
德州站,济南站,24000014611X,"[116.288647,37.449387],[116.990918,36.67086]"
济南站,泰山站,24000014611X,"[116.990918,36.67086],[117.109923,36.187122]"
泰山站,磁窑站,24000014611X,"[117.109923,36.187122],[117.106991,35.902683]"
磁窑站,兖州站,24000014611X,"[117.106991,35.902683],[116.841104,35.556412]"
兖州站,邹城站,24000014611X,"[116.841104,35.556412],[116.957884,35.400746]"
邹城站,滕州站,24000014611X,"[116.957884,35.400746],[117.153091,35.081273]"
滕州站,枣庄西站,24000014611X,"[117.153091,35.081273],[117.25453,34.792286]"
枣庄西站,徐州站,24000014611X,"[117.25453,34.792286],[117.206888,34.264954]"
徐州站,宿州站,24000014611X,"[117.206888,34.264954],[116.995137,33.638894]"
宿州站,蚌埠站,24000014611X,"[116.995137,33.638894],[117.378475,32.943137]"
蚌埠站,滁州北站,24000014611X,"[117.378475,32.943137],[118.327791,32.308138]"
滁州北站,南京站,24000014611X,"[118.327791,32.308138],[118.797513,32.087122]"
南京站,常州站,24000014611X,"[118.797513,32.087122],[119.973242,31.785213]"
常州站,无锡站,24000014611X,"[119.973242,31.785213],[120.306388,31.587908]"
无锡站,苏州站,24000014611X,"[120.306388,31.587908],[120.610855,31.329669]"
苏州站,上海站,24000014611X,"[120.610855,31.329669],[121.455739,31.249563]"
北京南站,天津南站,24000000G903,"[116.378545,39.865195],[117.0608,39.056878]"
天津南站,济南西站,24000000G903,"[117.0608,39.056878],[116.891316,36.668906]"
济南西站,南京南站,24000000G903,"[116.891316,36.668906],[118.798147,31.968587]"
南京南站,上海虹桥站,24000000G903,"[118.798147,31.968587],[121.320038,31.193987]"
北京南站,天津南站,240000G1290X,"[116.378545,39.865195],[117.0608,39.056878]"
天津南站,德州东站,240000G1290X,"[117.0608,39.056878],[116.462533,37.409444]"
德州东站,济南西站,240000G1290X,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,徐州东站,240000G1290X,"[116.891316,36.668906],[117.305076,34.267673]"
徐州东站,宿州东站,240000G1290X,"[117.305076,34.267673],[117.250896,33.675631]"
宿州东站,南京南站,240000G1290X,"[117.250896,33.675631],[118.798147,31.968587]"
南京南站,镇江南站,240000G1290X,"[118.798147,31.968587],[119.424373,32.152414]"
镇江南站,常州北站,240000G1290X,"[119.424373,32.152414],[119.955457,31.85349]"
常州北站,苏州北站,240000G1290X,"[119.955457,31.85349],[120.644312,31.421561]"
苏州北站,昆山南站,240000G1290X,"[120.644312,31.421561],[120.950871,31.353131]"
昆山南站,上海站,240000G1290X,"[120.950871,31.353131],[121.455739,31.249563]"
北京南站,沧州西站,240000G1310Q,"[116.378545,39.865195],[116.768136,38.306483]"
沧州西站,济南西站,240000G1310Q,"[116.768136,38.306483],[116.891316,36.668906]"
济南西站,滕州东站,240000G1310Q,"[116.891316,36.668906],[117.256866,35.090796]"
滕州东站,枣庄站,240000G1310Q,"[117.256866,35.090796],[117.30583,34.780682]"
枣庄站,徐州东站,240000G1310Q,"[117.30583,34.780682],[117.305076,34.267673]"
徐州东站,滁州站,240000G1310Q,"[117.305076,34.267673],[118.319862,32.198885]"
滁州站,南京南站,240000G1310Q,"[118.319862,32.198885],[118.798147,31.968587]"
南京南站,丹阳北站,240000G1310Q,"[118.798147,31.968587],[119.670964,32.014566]"
丹阳北站,无锡东站,240000G1310Q,"[119.670964,32.014566],[120.460118,31.597155]"
无锡东站,上海虹桥站,240000G1310Q,"[120.460118,31.597155],[121.320038,31.193987]"
北京南站,天津南站,240000G1330I,"[116.378545,39.865195],[117.0608,39.056878]"
天津南站,沧州西站,240000G1330I,"[117.0608,39.056878],[116.768136,38.306483]"
沧州西站,德州东站,240000G1330I,"[116.768136,38.306483],[116.462533,37.409444]"
德州东站,济南西站,240000G1330I,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,蚌埠南站,240000G1330I,"[116.891316,36.668906],[117.441475,32.901917]"
蚌埠南站,南京南站,240000G1330I,"[117.441475,32.901917],[118.798147,31.968587]"
南京南站,苏州北站,240000G1330I,"[118.798147,31.968587],[120.644312,31.421561]"
苏州北站,昆山南站,240000G1330I,"[120.644312,31.421561],[120.950871,31.353131]"
昆山南站,上海虹桥站,240000G1330I,"[120.950871,31.353131],[121.320038,31.193987]"
北京南站,廊坊站,240000G1350F,"[116.378545,39.865195],[116.709066,39.509281]"
廊坊站,德州东站,240000G1350F,"[116.709066,39.509281],[116.462533,37.409444]"
德州东站,济南西站,240000G1350F,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,曲阜东站,240000G1350F,"[116.891316,36.668906],[117.069079,35.556462]"
曲阜东站,宿州东站,240000G1350F,"[117.069079,35.556462],[117.250896,33.675631]"
宿州东站,蚌埠南站,240000G1350F,"[117.250896,33.675631],[117.441475,32.901917]"
蚌埠南站,南京南站,240000G1350F,"[117.441475,32.901917],[118.798147,31.968587]"
南京南站,镇江南站,240000G1350F,"[118.798147,31.968587],[119.424373,32.152414]"
镇江南站,无锡东站,240000G1350F,"[119.424373,32.152414],[120.460118,31.597155]"
无锡东站,上海虹桥站,240000G1350F,"[120.460118,31.597155],[121.320038,31.193987]"
北京南站,德州东站,240000G1370U,"[116.378545,39.865195],[116.462533,37.409444]"
德州东站,济南西站,240000G1370U,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,泰安站,240000G1370U,"[116.891316,36.668906],[117.035742,36.172902]"
泰安站,徐州东站,240000G1370U,"[117.035742,36.172902],[117.305076,34.267673]"
徐州东站,南京南站,240000G1370U,"[117.305076,34.267673],[118.798147,31.968587]"
南京南站,常州北站,240000G1370U,"[118.798147,31.968587],[119.955457,31.85349]"
常州北站,苏州北站,240000G1370U,"[119.955457,31.85349],[120.644312,31.421561]"
苏州北站,上海虹桥站,240000G1370U,"[120.644312,31.421561],[121.320038,31.193987]"
北京南站,沧州西站,240000G1390X,"[116.378545,39.865195],[116.768136,38.306483]"
沧州西站,德州东站,240000G1390X,"[116.768136,38.306483],[116.462533,37.409444]"
德州东站,济南西站,240000G1390X,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,滕州东站,240000G1390X,"[116.891316,36.668906],[117.256866,35.090796]"
滕州东站,徐州东站,240000G1390X,"[117.256866,35.090796],[117.305076,34.267673]"
徐州东站,蚌埠南站,240000G1390X,"[117.305076,34.267673],[117.441475,32.901917]"
蚌埠南站,定远站,240000G1390X,"[117.441475,32.901917],[117.84215,32.575119]"
定远站,滁州站,240000G1390X,"[117.84215,32.575119],[118.319862,32.198885]"
滁州站,南京南站,240000G1390X,"[118.319862,32.198885],[118.798147,31.968587]"
南京南站,丹阳北站,240000G1390X,"[118.798147,31.968587],[119.670964,32.014566]"
丹阳北站,无锡东站,240000G1390X,"[119.670964,32.014566],[120.460118,31.597155]"
无锡东站,昆山南站,240000G1390X,"[120.460118,31.597155],[120.950871,31.353131]"
昆山南站,上海虹桥站,240000G1390X,"[120.950871,31.353131],[121.320038,31.193987]"
北京南站,济南西站,24000000G30A,"[116.378545,39.865195],[116.891316,36.668906]"
济南西站,南京南站,24000000G30A,"[116.891316,36.668906],[118.798147,31.968587]"
南京南站,上海虹桥站,24000000G30A,"[118.798147,31.968587],[121.320038,31.193987]"
北京南站,德州东站,2400000G430C,"[116.378545,39.865195],[116.462533,37.409444]"
德州东站,济南西站,2400000G430C,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,曲阜东站,2400000G430C,"[116.891316,36.668906],[117.069079,35.556462]"
曲阜东站,徐州东站,2400000G430C,"[117.069079,35.556462],[117.305076,34.267673]"
徐州东站,滁州站,2400000G430C,"[117.305076,34.267673],[118.319862,32.198885]"
滁州站,南京南站,2400000G430C,"[118.319862,32.198885],[118.798147,31.968587]"
南京南站,苏州北站,2400000G430C,"[118.798147,31.968587],[120.644312,31.421561]"
苏州北站,上海虹桥站,2400000G430C,"[120.644312,31.421561],[121.320038,31.193987]"
上海虹桥站,嘉兴南站,2400000G430C,"[121.320038,31.193987],[120.799816,30.690975]"
嘉兴南站,桐乡站,2400000G430C,"[120.799816,30.690975],[120.567388,30.537336]"
桐乡站,杭州东站,2400000G430C,"[120.567388,30.537336],[120.213116,30.290998]"
北京南站,德州东站,240000G1410K,"[116.378545,39.865195],[116.462533,37.409444]"
德州东站,济南西站,240000G1410K,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,泰安站,240000G1410K,"[116.891316,36.668906],[117.035742,36.172902]"
泰安站,徐州东站,240000G1410K,"[117.035742,36.172902],[117.305076,34.267673]"
徐州东站,蚌埠南站,240000G1410K,"[117.305076,34.267673],[117.441475,32.901917]"
蚌埠南站,滁州站,240000G1410K,"[117.441475,32.901917],[118.319862,32.198885]"
滁州站,南京南站,240000G1410K,"[118.319862,32.198885],[118.798147,31.968587]"
南京南站,镇江南站,240000G1410K,"[118.798147,31.968587],[119.424373,32.152414]"
镇江南站,常州北站,240000G1410K,"[119.424373,32.152414],[119.955457,31.85349]"
常州北站,苏州北站,240000G1410K,"[119.955457,31.85349],[120.644312,31.421561]"
苏州北站,上海虹桥站,240000G1410K,"[120.644312,31.421561],[121.320038,31.193987]"
北京南站,沧州西站,240000G1450R,"[116.378545,39.865195],[116.768136,38.306483]"
沧州西站,济南西站,240000G1450R,"[116.768136,38.306483],[116.891316,36.668906]"
济南西站,徐州东站,240000G1450R,"[116.891316,36.668906],[117.305076,34.267673]"
徐州东站,滁州站,240000G1450R,"[117.305076,34.267673],[118.319862,32.198885]"
滁州站,南京南站,240000G1450R,"[118.319862,32.198885],[118.798147,31.968587]"
南京南站,镇江南站,240000G1450R,"[118.798147,31.968587],[119.424373,32.152414]"
镇江南站,常州北站,240000G1450R,"[119.424373,32.152414],[119.955457,31.85349]"
常州北站,苏州北站,240000G1450R,"[119.955457,31.85349],[120.644312,31.421561]"
苏州北站,上海虹桥站,240000G1450R,"[120.644312,31.421561],[121.320038,31.193987]"
北京南站,济南西站,2400000G110L,"[116.378545,39.865195],[116.891316,36.668906]"
济南西站,南京南站,2400000G110L,"[116.891316,36.668906],[118.798147,31.968587]"
南京南站,上海虹桥站,2400000G110L,"[118.798147,31.968587],[121.320038,31.193987]"
北京南站,沧州西站,240000G15521,"[116.378545,39.865195],[116.768136,38.306483]"
沧州西站,德州东站,240000G15521,"[116.768136,38.306483],[116.462533,37.409444]"
德州东站,济南西站,240000G15521,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,徐州东站,240000G15521,"[116.891316,36.668906],[117.305076,34.267673]"
徐州东站,南京南站,240000G15521,"[117.305076,34.267673],[118.798147,31.968587]"
南京南站,常州北站,240000G15521,"[118.798147,31.968587],[119.955457,31.85349]"
常州北站,无锡东站,240000G15521,"[119.955457,31.85349],[120.460118,31.597155]"
无锡东站,苏州北站,240000G15521,"[120.460118,31.597155],[120.644312,31.421561]"
苏州北站,上海虹桥站,240000G15521,"[120.644312,31.421561],[121.320038,31.193987]"
上海虹桥站,嘉兴南站,240000G15521,"[121.320038,31.193987],[120.799816,30.690975]"
北京南站,天津南站,240000G1470G,"[116.378545,39.865195],[117.0608,39.056878]"
天津南站,沧州西站,240000G1470G,"[117.0608,39.056878],[116.768136,38.306483]"
沧州西站,德州东站,240000G1470G,"[116.768136,38.306483],[116.462533,37.409444]"
德州东站,济南西站,240000G1470G,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,枣庄站,240000G1470G,"[116.891316,36.668906],[117.30583,34.780682]"
枣庄站,滁州站,240000G1470G,"[117.30583,34.780682],[118.319862,32.198885]"
滁州站,南京南站,240000G1470G,"[118.319862,32.198885],[118.798147,31.968587]"
南京南站,镇江南站,240000G1470G,"[118.798147,31.968587],[119.424373,32.152414]"
镇江南站,无锡东站,240000G1470G,"[119.424373,32.152414],[120.460118,31.597155]"
无锡东站,苏州北站,240000G1470G,"[120.460118,31.597155],[120.644312,31.421561]"
苏州北站,上海虹桥站,240000G1470G,"[120.644312,31.421561],[121.320038,31.193987]"
北京南站,沧州西站,240000G14915,"[116.378545,39.865195],[116.768136,38.306483]"
沧州西站,德州东站,240000G14915,"[116.768136,38.306483],[116.462533,37.409444]"
德州东站,济南西站,240000G14915,"[116.462533,37.409444],[116.891316,36.668906]"
济南西站,泰安站,240000G14915,"[116.891316,36.668906],[117.035742,36.172902]"
泰安站,滕州东站,240000G14915,"[117.035742,36.172902],[117.256866,35.090796]"
滕州东站,徐州东站,240000G14915,"[117.256866,35.090796],[117.305076,34.267673]"
徐州东站,宿州东站,240000G14915,"[117.305076,34.267673],[117.250896,33.675631]"
宿州东站,蚌埠南站,240000G14915,"[117.250896,33.675631],[117.441475,32.901917]"
蚌埠南站,南京南站,240000G14915,"[117.441475,32.901917],[118.798147,31.968587]"
南京南站,镇江南站,240000G14915,"[118.798147,31.968587],[119.424373,32.152414]"
